MAHINDRA,WIPRO,INFOSYS,EXIDE,,,,,,,,,,,,,,,,,,,,,,
454.03,207.36,435.07,117.7,,,,,,,,,,,,,,,,,,,,,,
458.88,208.73,445.64,117.25,,,,,,,,,,,,,,,,,,,,,,
453.96,209.25,439.74,118.25,,,,,,,,,,,,,,,,,,,,,,
451.01,206.33,432.14,118.25,,,,,,,,,,,,,,,,,,,,,,
460.15,205.18,428.51,117.85,,,,,,,,,,,,,,,,,,,,,,
457.26,202.84,431.35,115.05,,,,,,,,,,,,,,,,,,,,,,
469.73,207.51,443.91,112.25,,,,,,,,,,,,,,,,,,,,,,
471.13,210.54,458.13,105.15,,,,,,,,,,,,,,,,,,,,,,
473.31,207.6,460.84,104.25,,,,,,,,,,,,,,,,,,,,,,
471.01,210.26,464.01,104.65,,,,,,,,,,,,,,,,,,,,,,
466.56,214.33,465.63,102.65,,,,,,,,,,,,,,,,,,,,,,
443.81,207.26,466.22,101,,,,,,,,,,,,,,,,,,,,,,
457.18,214.89,468.66,101.2,,,,,,,,,,,,,,,,,,,,,,
457.16,214.33,469.79,102.65,,,,,,,,,,,,,,,,,,,,,,
460.54,216.73,470.74,103.35,,,,,,,,,,,,,,,,,,,,,,
457.66,216.94,474.06,104.3,,,,,,,,,,,,,,,,,,,,,,
448.39,214.82,469.77,103,,,,,,,,,,,,,,,,,,,,,,
440.06,213.96,466.53,99.9,,,,,,,,,,,,,,,,,,,,,,
434.69,212.85,459.39,101,,,,,,,,,,,,,,,,,,,,,,
437.39,214.31,464.73,102.5,,,,,,,,,,,,,,,,,,,,,,
429.58,214.2,463.03,100.65,,,,,,,,,,,,,,,,,,,,,,
446.74,215.64,462.64,101.1,,,,,,,,,,,,,,,,,,,,,,
440.78,212.23,453.64,103.15,,,,,,,,,,,,,,,,,,,,,,
442.71,208.37,445.14,103.05,,,,,,,,,,,,,,,,,,,,,,
459.96,210.15,447.66,103.85,,,,,,,,,,,,,,,,,,,,,,
461.38,213.21,445.46,106,,,,,,,,,,,,,,,,,,,,,,
455.79,210.62,445.82,105.5,,,,,,,,,,,,,,,,,,,,,,
458.04,211.2,446.73,104.55,,,,,,,,,,,,,,,,,,,,,,
465.43,211.18,449.53,104.05,,,,,,,,,,,,,,,,,,,,,,
468.91,210.92,450.01,105.1,,,,,,,,,,,,,,,,,,,,,,
453.45,208.2,448.23,105.35,,,,,,,,,,,,,,,,,,,,,,
457.96,211.43,455.54,106.55,,,,,,,,,,,,,,,,,,,,,,
455.94,210.38,457.27,107.05,,,,,,,,,,,,,,,,,,,,,,
455.51,208.89,460.25,108.05,,,,,,,,,,,,,,,,,,,,,,
458.06,211.95,463.91,107.75,,,,,,,,,,,,,,,,,,,,,,
462.05,214.33,468.84,108.65,,,,,,,,,,,,,,,,,,,,,,
457.86,216.62,468.74,108.15,,,,,,,,,,,,,,,,,,,,,,
459.9,223.59,472.86,110.25,,,,,,,,,,,,,,,,,,,,,,
455.24,226.14,475.94,110.05,,,,,,,,,,,,,,,,,,,,,,
466.81,223.97,478.11,110.75,,,,,,,,,,,,,,,,,,,,,,
476.61,219.71,474.78,111.75,,,,,,,,,,,,,,,,,,,,,,
475,220.58,474.94,112.95,,,,,,,,,,,,,,,,,,,,,,
475.96,221.44,477.71,115.5,,,,,,,,,,,,,,,,,,,,,,
480.8,219.32,478.99,117.05,,,,,,,,,,,,,,,,,,,,,,
459,212.01,467.54,118.85,,,,,,,,,,,,,,,,,,,,,,
449.9,208.97,458.95,118.35,,,,,,,,,,,,,,,,,,,,,,
445.44,209.94,459.42,120.25,,,,,,,,,,,,,,,,,,,,,,
450.69,212.53,458.91,119.6,,,,,,,,,,,,,,,,,,,,,,
445.14,211.35,419.7,117.35,,,,,,,,,,,,,,,,,,,,,,
446.31,205.35,424.27,116.6,,,,,,,,,,,,,,,,,,,,,,
448.59,202.67,418.82,118.6,,,,,,,,,,,,,,,,,,,,,,
444.38,204.41,408.97,119.45,,,,,,,,,,,,,,,,,,,,,,
455.54,207.13,412.88,117.3,,,,,,,,,,,,,,,,,,,,,,
452.24,213.08,413.21,116.05,,,,,,,,,,,,,,,,,,,,,,
461.08,211.05,409.48,116.45,,,,,,,,,,,,,,,,,,,,,,
457.2,205.69,406.8,116.45,,,,,,,,,,,,,,,,,,,,,,
453.84,204.58,406.11,117.3,,,,,,,,,,,,,,,,,,,,,,
458.36,207.53,403.88,119.15,,,,,,,,,,,,,,,,,,,,,,
459.19,207.02,407.83,123.1,,,,,,,,,,,,,,,,,,,,,,
448.84,203.7,410.35,121.15,,,,,,,,,,,,,,,,,,,,,,
454.89,210.39,414.24,122.3,,,,,,,,,,,,,,,,,,,,,,
457.95,212.21,415.26,124.85,,,,,,,,,,,,,,,,,,,,,,
452.84,210.36,417.27,124.1,,,,,,,,,,,,,,,,,,,,,,
453.28,207.53,414.51,122.9,,,,,,,,,,,,,,,,,,,,,,
448.25,208.84,411.68,124.45,,,,,,,,,,,,,,,,,,,,,,
434.44,207.92,406.82,125.2,,,,,,,,,,,,,,,,,,,,,,
427.05,210.45,400.15,122.7,,,,,,,,,,,,,,,,,,,,,,
434.89,213.04,404.39,123.65,,,,,,,,,,,,,,,,,,,,,,
441.05,220.71,407.48,126.05,,,,,,,,,,,,,,,,,,,,,,
437.65,214.54,394.66,124.6,,,,,,,,,,,,,,,,,,,,,,
442.95,219.69,399.01,125.95,,,,,,,,,,,,,,,,,,,,,,
443.5,204.83,397.87,128.8,,,,,,,,,,,,,,,,,,,,,,
443.43,198.96,393.83,130.35,,,,,,,,,,,,,,,,,,,,,,
441.25,196.76,396.58,130.4,,,,,,,,,,,,,,,,,,,,,,
451.19,194.72,396.95,126.3,,,,,,,,,,,,,,,,,,,,,,
456.31,198.6,397.26,125.5,,,,,,,,,,,,,,,,,,,,,,
461.58,196.8,397.22,126.7,,,,,,,,,,,,,,,,,,,,,,
458.04,195.88,397.6,119.75,,,,,,,,,,,,,,,,,,,,,,
459.4,198.19,402.46,120.6,,,,,,,,,,,,,,,,,,,,,,
455,195.28,397.11,119.8,,,,,,,,,,,,,,,,,,,,,,
450.35,193.07,395.64,116.45,,,,,,,,,,,,,,,,,,,,,,
434.11,189.79,383.42,114.3,,,,,,,,,,,,,,,,,,,,,,
436.33,191.61,383.16,115,,,,,,,,,,,,,,,,,,,,,,
444.11,192.73,388.93,117,,,,,,,,,,,,,,,,,,,,,,
448.6,191.98,396.89,115.8,,,,,,,,,,,,,,,,,,,,,,
455.64,198.45,408.16,118,,,,,,,,,,,,,,,,,,,,,,
459.4,196.71,406.76,121.6,,,,,,,,,,,,,,,,,,,,,,
457.56,193.69,409.06,120.45,,,,,,,,,,,,,,,,,,,,,,
455.64,188.55,397.19,122.9,,,,,,,,,,,,,,,,,,,,,,
434.69,180.77,376.88,130.7,,,,,,,,,,,,,,,,,,,,,,
442.76,185.49,390.28,133.2,,,,,,,,,,,,,,,,,,,,,,
436.63,184.91,394.64,135.35,,,,,,,,,,,,,,,,,,,,,,
436.96,181.31,389.24,135.65,,,,,,,,,,,,,,,,,,,,,,
446.59,183.75,383.69,142.5,,,,,,,,,,,,,,,,,,,,,,
451.35,189.75,386.86,135.9,,,,,,,,,,,,,,,,,,,,,,
463.61,190.58,391.76,134.7,,,,,,,,,,,,,,,,,,,,,,
471.71,192.84,396.66,136.35,,,,,,,,,,,,,,,,,,,,,,
469.44,187.43,365.56,137.75,,,,,,,,,,,,,,,,,,,,,,
480.75,189.83,367.43,140.55,,,,,,,,,,,,,,,,,,,,,,
473.98,187.16,374.14,143.35,,,,,,,,,,,,,,,,,,,,,,
475.3,185.33,377.15,144.1,,,,,,,,,,,,,,,,,,,,,,
471.53,184.52,373.06,149.95,,,,,,,,,,,,,,,,,,,,,,
476.1,187.86,380.14,148.45,,,,,,,,,,,,,,,,,,,,,,
477.54,190.93,375.38,146.75,,,,,,,,,,,,,,,,,,,,,,
488.94,191.91,373.31,148.15,,,,,,,,,,,,,,,,,,,,,,
501.04,196.88,384.39,147.05,,,,,,,,,,,,,,,,,,,,,,
504.76,197.89,399.17,144.75,,,,,,,,,,,,,,,,,,,,,,
499.7,199.56,396.88,145.4,,,,,,,,,,,,,,,,,,,,,,
505.34,198.9,398.38,142.3,,,,,,,,,,,,,,,,,,,,,,
505.66,201.04,405.52,141.8,,,,,,,,,,,,,,,,,,,,,,
506.76,201.04,405.86,144,,,,,,,,,,,,,,,,,,,,,,
502.96,198.94,405.06,139.7,,,,,,,,,,,,,,,,,,,,,,
507.64,201.45,413.99,141.4,,,,,,,,,,,,,,,,,,,,,,
502.26,201.3,414.58,140.4,,,,,,,,,,,,,,,,,,,,,,
500.64,199.28,404.07,140,,,,,,,,,,,,,,,,,,,,,,
498.64,199.24,400.48,140.9,,,,,,,,,,,,,,,,,,,,,,
504.55,198.43,401.41,143.9,,,,,,,,,,,,,,,,,,,,,,
511.8,200.79,397.81,143.75,,,,,,,,,,,,,,,,,,,,,,
531.42,204.73,402.93,143.1,,,,,,,,,,,,,,,,,,,,,,
538,204.9,406.94,145,,,,,,,,,,,,,,,,,,,,,,
527.23,201.83,402.63,149.7,,,,,,,,,,,,,,,,,,,,,,
525.17,202.82,401.91,158.6,,,,,,,,,,,,,,,,,,,,,,
528.36,208.31,401.34,158.6,,,,,,,,,,,,,,,,,,,,,,
528.98,205.03,405.74,159.2,,,,,,,,,,,,,,,,,,,,,,
534.33,209.1,418.18,158.1,,,,,,,,,,,,,,,,,,,,,,
526.42,206.16,417.77,150.35,,,,,,,,,,,,,,,,,,,,,,
516.84,204.49,413.79,149.85,,,,,,,,,,,,,,,,,,,,,,
505.36,204.28,411.59,150.3,,,,,,,,,,,,,,,,,,,,,,
512.48,207.32,415.83,144.75,,,,,,,,,,,,,,,,,,,,,,
509.65,202.05,403.16,147,,,,,,,,,,,,,,,,,,,,,,
515.69,200.94,403.21,152.4,,,,,,,,,,,,,,,,,,,,,,
