10_cross_30,MACD_Signal_MACD,MACD_lim,abv_50,abv_200,actual_returns,proba
1,0,1,0,0,1.01,0.55
0,1,1,1,0,0.9299999999999999,0.59
0,1,0,0,0,0.8899999999999999,0.52
1,0,0,0,1,0.8400000000000001,0.58
0,1,1,0,0,0.7999999999999999,0.55
1,0,0,0,0,0.74,0.55
1,1,1,0,0,0.7,0.55
0,1,1,0,1,0.69,0.57
1,1,0,1,0,0.6799999999999999,0.45
1,1,0,0,1,0.67,0.51
1,0,1,1,1,0.6100000000000001,0.55
0,1,0,1,1,0.5499999999999999,0.46
0,1,1,1,1,0.5499999999999998,0.56
1,0,1,0,1,0.5399999999999998,0.55
1,1,1,1,0,0.5399999999999998,0.53
1,0,1,1,0,0.53,0.53
1,1,0,0,0,0.4700000000000002,0.52
0,1,0,0,1,0.41999999999999993,0.52
1,1,1,1,1,0.3599999999999999,0.52
1,1,1,0,1,0.32999999999999985,0.53
1,0,0,1,1,0.030000000000000027,0.51
0,1,0,1,0,-0.14000000000000012,0.45
1,0,0,1,0,-0.5899999999999999,0.48
1,1,0,1,1,-2.1700000000000004,0.25
