10_cross_30,MACD_Signal_MACD,MACD_lim,abv_50,abv_200,actual_returns,proba
0,1,1,1,0,1.6700000000000002,0.55
1,1,0,0,1,1.56,0.6
0,1,0,0,0,1.3200000000000003,0.53
0,1,0,1,1,1.3199999999999998,0.58
1,1,1,0,0,1.15,0.57
1,0,0,0,0,0.95,0.62
1,0,1,0,0,0.9099999999999999,0.54
1,1,1,1,0,0.8399999999999999,0.55
1,0,0,0,1,0.7999999999999998,0.48
1,0,1,0,1,0.73,0.55
1,0,1,1,1,0.7,0.54
1,0,1,1,0,0.6199999999999999,0.55
0,1,1,0,1,0.4800000000000002,0.54
0,1,1,0,0,0.45999999999999996,0.49
1,1,1,0,1,0.42000000000000015,0.55
1,1,1,1,1,0.41000000000000014,0.52
0,1,0,1,0,0.3999999999999999,0.42
0,1,0,0,1,0.26,0.5
0,1,1,1,1,0.16000000000000014,0.5
1,0,0,1,1,0.08000000000000007,0.52
1,1,0,0,0,0.030000000000000027,0.49
1,1,0,1,0,-0.39,0.32
1,0,0,1,0,-0.76,0.43
