10_cross_30,MACD_Signal_MACD,MACD_lim,abv_50,abv_200,actual_returns,proba
0,1,1,0,0,1.1400000000000001,0.59
0,1,1,1,1,0.81,0.61
1,0,0,0,0,0.7899999999999999,0.53
0,1,0,1,1,0.7299999999999999,0.55
0,1,1,0,1,0.72,0.57
1,0,0,0,1,0.69,0.61
0,1,1,1,0,0.5900000000000001,0.6
1,0,1,0,0,0.5799999999999998,0.52
0,1,0,0,0,0.5499999999999998,0.53
1,1,1,0,0,0.5400000000000001,0.55
0,1,0,0,1,0.51,0.53
1,0,1,1,1,0.4899999999999999,0.53
1,1,1,1,1,0.45999999999999996,0.54
1,1,1,1,0,0.4099999999999999,0.53
1,1,0,0,0,0.3800000000000001,0.5
1,0,1,1,0,0.3400000000000001,0.5
1,0,1,0,1,0.32999999999999985,0.49
1,1,1,0,1,0.27,0.5
1,1,0,0,1,0.21999999999999997,0.43
1,0,0,1,1,0.10000000000000009,0.49
1,1,0,1,0,0.10000000000000009,0.48
1,0,0,1,0,-0.26,0.49
1,1,0,1,1,-1.0300000000000002,0.33
0,1,0,1,0,-1.2399999999999998,0.56
