10_cross_30,MACD_Signal_MACD,MACD_lim,abv_50,abv_200,actual_returns,proba
1,1,0,1,0,5.86,0.65
1,0,1,0,0,1.6,0.61
1,1,0,0,0,1.5,0.62
1,0,0,0,1,1.2999999999999998,0.71
0,1,1,0,0,1.21,0.61
0,1,1,0,1,0.9299999999999999,0.6
0,1,0,0,0,0.82,0.49
0,1,1,1,1,0.76,0.57
1,0,1,1,1,0.6,0.57
0,1,0,0,1,0.5200000000000001,0.53
1,0,1,1,0,0.5,0.53
1,1,1,1,0,0.40000000000000013,0.52
1,1,1,0,0,0.3800000000000001,0.53
1,1,1,0,1,0.36,0.55
1,1,0,0,1,0.32999999999999996,0.54
0,1,1,1,0,0.25,0.65
1,0,1,0,1,0.2400000000000002,0.65
1,1,1,1,1,0.22999999999999998,0.51
1,0,0,0,0,0.08000000000000007,0.46
1,0,0,1,1,-0.09999999999999987,0.51
1,0,0,1,0,-0.7699999999999999,0.55
0,1,0,1,1,-0.86,
0,1,0,1,0,-4.09,0.27
1,1,0,1,1,-7.3,
