buy_date,swing_high,swing_low,buy_price,sell_price,sell_date,returns,holding_period,stock
2019-12-10,339.23748779296875,227.91636657714844,304.77,343.27,2020-01-20,12.63,41.0,360ONE
2020-03-11,351.75,171.41482543945312,351.75,242.83,2020-06-05,-30.97,86.0,360ONE
2020-07-14,267.5625,196.5998992919922,243.21,266.41,2020-08-03,9.54,20.0,360ONE
2020-09-07,254.77,196.44332885742188,254.77,242.12,2020-11-17,-4.97,71.0,360ONE
2021-01-29,266.5249938964844,233.45028686523438,252.77,268.65,2021-02-03,6.28,5.0,360ONE
2021-04-16,301.5,240.12155151367188,289.19,302.8,2021-07-06,4.71,81.0,360ONE
2021-10-25,393.54998779296875,313.6048889160156,389.69,397.25,2022-01-13,1.94,80.0,360ONE
2022-02-23,400.5625,342.95013427734375,377.63,402.98,2022-03-24,6.71,29.0,360ONE
2022-05-10,422.1,301.6506042480469,422.1,383.32,2022-07-04,-9.19,55.0,360ONE
2022-10-31,466.26251220703125,447.3251953125,455.58,466.26,2022-11-30,2.34,30.0,360ONE
2022-12-23,485.0249938964844,419.4910583496094,445.53,485.06,2023-01-20,8.87,28.0,360ONE
2023-01-31,462.8,417.1522216796875,462.8,441.73,2023-03-03,-4.55,31.0,360ONE
2023-03-15,431.14,388.6756286621094,431.14,421.68,2023-06-02,-2.19,79.0,360ONE
2023-09-01,520.3499755859375,470.7135009765625,497.17,526.36,2023-09-11,5.87,10.0,360ONE
2023-10-05,553.0999755859375,486.8277893066406,498.48,549.79,2023-10-17,10.29,12.0,360ONE
2024-01-23,691.7000122070312,612.59423828125,647.22,686.8,2024-02-14,6.12,22.0,360ONE
2014-05-14,4191.85009765625,3759.33349609375,3894.22,3930.25,2014-05-30,0.93,16.0,3MINDIA
2014-10-17,6245.7998046875,5721.7236328125,5971.11,6361.98,2014-11-11,6.55,25.0,3MINDIA
2014-12-17,6862.5,5782.54638671875,6180.75,6781.67,2015-01-21,9.72,35.0,3MINDIA
2015-03-23,8144.39990234375,7674.18,7674.18,8208.75,2015-04-07,6.97,15.0,3MINDIA
2015-04-28,8908.5,7323.697265625,7690.26,9034.6,2015-06-02,17.48,35.0,3MINDIA
2015-06-30,8385.67,7878.0263671875,8385.67,8169.0,2015-07-17,-2.58,17.0,3MINDIA
2015-11-10,11758.5,10117.9423828125,11758.5,11295.24,2015-12-31,-3.94,51.0,3MINDIA
2016-01-18,11532.7998046875,9156.123046875,10376.62,11442.5,2016-02-09,10.27,22.0,3MINDIA
2016-04-08,13228.9501953125,10549.48,10549.48,13176.09,2016-04-13,24.9,5.0,3MINDIA
2016-05-18,13115.25,11483.7880859375,13115.25,12736.0,2016-07-01,-2.89,44.0,3MINDIA
2016-08-10,13277.05,12379.5908203125,13277.05,13251.41,2016-09-29,-0.19,50.0,3MINDIA
2016-09-30,13149.599609375,12644.9990234375,12919.27,13134.0,2016-10-07,1.66,7.0,3MINDIA
2016-11-07,12939.37,9772.1416015625,12939.37,11472.35,2017-01-09,-11.34,63.0,3MINDIA
2017-02-13,11658.0,10500.091796875,11658.0,11267.38,2017-03-31,-3.35,46.0,3MINDIA
2017-05-04,11992.0498046875,11507.1,11507.1,12213.58,2017-05-10,6.14,6.0,3MINDIA
2017-06-28,13826.400390625,12757.6064453125,13492.28,13816.42,2017-08-08,2.4,41.0,3MINDIA
2017-08-11,13860.650390625,13068.546875,13196.0,13995.47,2017-08-16,6.06,5.0,3MINDIA
2017-09-26,15411.150390625,14472.05,14472.05,15522.0,2017-11-06,7.26,41.0,3MINDIA
2018-03-20,20918.349609375,18303.9765625,19798.55,20820.38,2018-04-16,5.16,27.0,3MINDIA
2018-05-16,20398.30078125,17692.333984375,20351.25,20298.0,2018-07-18,-0.26,63.0,3MINDIA
2018-09-14,25369.82,18633.71875,25369.82,20885.0,2018-11-26,-17.68,73.0,3MINDIA
2018-12-27,21332.44921875,20513.83984375,21034.65,21382.55,2019-02-11,1.65,46.0,3MINDIA
2019-05-02,23041.33,17468.8046875,23041.33,22885.0,2019-10-18,-0.68,169.0,3MINDIA
2019-12-05,22058.74,19943.01953125,22058.74,21392.45,2020-01-08,-3.02,34.0,3MINDIA
2020-02-20,22029.6,15277.5947265625,22029.6,19899.01,2020-04-17,-9.67,57.0,3MINDIA
2020-05-12,18479.599609375,16184.5537109375,18090.0,18303.03,2020-06-17,1.18,36.0,3MINDIA
2020-09-01,20401.5,17452.505859375,20401.5,19393.94,2020-10-12,-4.94,41.0,3MINDIA
2020-12-23,21792.599609375,18342.5859375,21394.44,21740.75,2021-02-18,1.62,57.0,3MINDIA
2021-04-13,26338.94921875,23500.267578125,25916.94,26365.51,2021-05-27,1.73,44.0,3MINDIA
2021-06-21,25331.02,23030.611328125,25331.02,24850.12,2021-07-28,-1.9,37.0,3MINDIA
2021-08-11,25060.099609375,21774.4375,24089.85,24934.8,2021-09-02,3.51,22.0,3MINDIA
2021-11-22,25326.0,18925.138671875,25326.0,21193.5,2022-04-06,-16.32,135.0,3MINDIA
2022-05-04,20049.75,16787.779296875,20049.75,19104.0,2022-05-31,-4.72,27.0,3MINDIA
2022-08-18,23938.099609375,22330.59375,22461.75,24079.0,2022-09-19,7.2,32.0,3MINDIA
