buy_date,buy_price,sell_price,sell_date,returns,holding_period,stock
2014-01-27,492.76,488.84,2014-02-26,-0.8,30.0,EICHERMOT
2014-12-16,1413.83,1539.87,2015-01-20,8.91,35.0,EICHERMOT
2015-03-30,1567.7,1661.65,2015-04-09,5.99,10.0,EICHERMOT
2015-04-21,1497.45,1686.53,2015-05-12,12.63,21.0,EICHERMOT
2015-06-10,1728.4,1945.24,2015-06-19,12.55,9.0,EICHERMOT
2015-07-29,1969.8,2114.18,2015-08-20,7.33,22.0,EICHERMOT
2015-08-25,1894.53,1679.46,2016-01-01,-11.35,129.0,EICHERMOT
2016-01-19,1552.72,1828.21,2016-02-08,17.74,20.0,EICHERMOT
2016-03-18,1814.13,1981.77,2016-04-18,9.24,31.0,EICHERMOT
2016-05-16,1924.57,1919.32,2016-06-29,-0.27,44.0,EICHERMOT
2016-10-27,2458.23,2293.78,2017-01-10,-6.69,75.0,EICHERMOT
2017-03-06,2326.64,2487.4,2017-03-30,6.91,24.0,EICHERMOT
2017-06-22,2776.81,2914.26,2017-07-20,4.95,28.0,EICHERMOT
2017-09-26,3105.45,3232.66,2017-10-31,4.1,35.0,EICHERMOT
2017-11-06,3139.13,2874.95,2018-03-14,-8.42,128.0,EICHERMOT
2018-05-07,2959.72,3049.68,2018-06-01,3.04,25.0,EICHERMOT
2018-06-06,2954.7,2897.93,2018-07-30,-1.92,54.0,EICHERMOT
2018-08-03,2733.49,2885.27,2018-08-13,5.55,10.0,EICHERMOT
2018-09-24,2812.29,2328.3,2018-11-15,-17.21,52.0,EICHERMOT
2019-01-03,2114.52,2112.87,2019-02-07,-0.08,35.0,EICHERMOT
2019-03-06,2161.75,2183.88,2019-03-11,1.02,5.0,EICHERMOT
2019-04-05,2070.8,2113.38,2019-05-21,2.06,46.0,EICHERMOT
2019-06-25,1919.61,1830.8,2019-09-23,-4.63,90.0,EICHERMOT
2019-12-09,2110.5,2266.61,2019-12-31,7.4,22.0,EICHERMOT
2020-01-07,2105.47,1504.44,2020-05-28,-28.55,142.0,EICHERMOT
2020-09-23,2095.37,2199.6,2020-10-05,4.97,12.0,EICHERMOT
2020-10-27,2125.57,2314.37,2020-11-12,8.88,16.0,EICHERMOT
2020-12-15,2422.85,2616.85,2021-01-05,8.01,21.0,EICHERMOT
2021-02-17,2733.6,2686.5,2021-03-24,-1.72,35.0,EICHERMOT
2021-04-06,2547.47,2537.25,2021-05-19,-0.4,43.0,EICHERMOT
2021-07-05,2689.03,2715.4,2021-08-10,0.98,36.0,EICHERMOT
2021-08-17,2506.47,2788.59,2021-09-06,11.26,20.0,EICHERMOT
2021-10-05,2743.65,2549.44,2021-12-30,-7.08,86.0,EICHERMOT
2022-02-08,2628.07,2689.68,2022-02-18,2.34,10.0,EICHERMOT
2022-03-04,2412.0,2518.34,2022-04-06,4.41,33.0,EICHERMOT
2022-05-06,2422.05,2685.51,2022-05-18,10.88,12.0,EICHERMOT
2022-06-20,2613.0,2823.66,2022-06-24,8.06,4.0,EICHERMOT
2022-10-12,3442.18,3870.2,2022-11-01,12.43,20.0,EICHERMOT
2022-11-17,3517.5,3273.55,2022-12-30,-6.94,43.0,EICHERMOT
2023-01-16,3171.33,3248.68,2023-02-02,2.44,17.0,EICHERMOT
2023-02-28,3147.66,3124.3,2023-04-13,-0.74,44.0,EICHERMOT
2023-06-19,3585.64,3412.85,2023-08-02,-4.82,44.0,EICHERMOT
2023-08-21,3361.67,3416.98,2023-09-05,1.65,15.0,EICHERMOT
2023-10-04,3366.75,3462.6,2023-10-19,2.85,15.0,EICHERMOT
2023-11-01,3326.35,3527.57,2023-11-09,6.05,8.0,EICHERMOT
2014-01-28,2024.77,1998.81,2014-03-10,-1.28,41.0,HEROMOTOCO
